client_id,gender,birthdate,social,first,middle,last,phone,email,address_1,address_2,zipcode,district_id
C00000103,Male,"Friday, 11 July 1975",851-42-9875,Grayson,Johnnie,Reed,440-368-5820,grayson.reed45@gmail.com,745 Bellevue Lane,,42641,74
C00000105,Male,"Friday, 26 May 2000",407-34-0962,Jonathan,Jones,Bailey,255-585-1034,jonathan.jones.bailey66@gmail.com,50 Wild Rose Court,,43442,31
C00000106,Female,"Friday, 30 December 1988",138-45-7585,Sadie,Layla,Collins,735-784-3483,sadie.collins6@gmail.com,28 Cypress St.,,48179,68
C00000107,Male,"Tuesday, 23 June 1992",611-47-0052,Isaiah,Khari,Bell,212-795-3118,isaiah.bell2@hotmail.com,9847 Fairway Street,,10153,1
C00000108,Male,"Tuesday, 13 September 1983",596-89-3904,Charles,Kyrin,Gomez,505-026-3653,charles.gomez2@gmail.com,9731 Coffee Court,,44663,17
C00000110,Female,"Monday, 13 April 1987",860-40-3259,Mila,Brooklyn,Edwards,634-013-0057,mila.edwards2@gmail.com,9638 Carson Rd.,,40966,2
C00000112,Male,"Tuesday, 25 January 1955",301-84-8451,Thomas,Marcelino,Kelly,212-121-5550,thomas.kelly2@gmail.com,169 Lyme Street,,10104,1
C00000113,Female,"Monday, 15 August 1960",759-36-2321,Gabriella,Alexa,Stewart,212-540-6403,gabriella.stewart@outlook.com,258 Lexington Ave.,,10022,1
C00000114,Female,"Saturday, 24 June 1989",741-67-2549,Lucy,Zoe,Flores,624-232-3244,lucy.flores3@gmail.com,39 Buttonwood St.,,40296,74
C00000115,Male,"Sunday, 24 December 1989",888-01-0488,Aaron,Matheo,Howard,731-959-1602,aaron.howard567@gmail.com,9174 Hall Ave.,,47307,74
C00000116,Male,"Sunday, 28 January 1962",981-57-2148,Eli,Olin,Ward,778-761-9826,eli.ward8@gmail.com,441 Dunbar Drive,,41687,74
C00000117,Female,"Thursday, 20 September 1956",791-38-4367,Arianna,Penelope,Morris,481-866-1887,arianna.morris@gmail.com,45 Jefferson Circle,,43629,74
C00000118,Male,"Sunday, 19 July 1942",248-83-2375,Connor,Arman,Cox,978-209-1646,connor.cox@gmail.com,142 Lantern St.,,1850,55
C00000119,Female,"Saturday, 28 February 1942",913-64-1231,Kennedy,Riley,Nguyen,978-455-1920,kennedy.nguyen@outlook.com,9719 Summit Street,,1851,55
C00000120,Male,"Friday, 10 May 1996",332-17-4598,Jeremiah,Banks,Diaz,212-712-7618,jeremiah.diaz@gmail.com,75 Wood Road,,10016,1
C00000121,Female,"Thursday, 29 October 1998",178-16-7986,Sarah,Leah,Murphy,958-281-5227,sarah.murphy456@gmail.com,8537 Greenrose Drive,,49550,41
C00000122,Female,"Sunday, 13 November 1983",945-61-4380,Madelyn,Audrey,Rivera,886-432-0564,madelyn.rivera@gmail.com,9417 Green Hill St.,,44133,35
C00000123,Male,"Sunday, 12 February 1989",413-51-2131,Cameron,Damoni,Richardson,679-738-5511,cameron.richardson2@gmail.com,39 Pawnee Street,,41580,11
C00000124,Male,"Monday, 21 September 1987",125-45-9860,Josiah,Dev,Wood,774-647-0604,josiah.wood@gmail.com,884 Helen St.,,42152,44
C00000125,Male,"Wednesday, 31 October 1956",340-30-8988,Adrian,Nazir,Watson,431-892-6138,adrian.nazir.watson3245@gmail.com,7526 Jockey Hollow St.,,46846,37
C00000126,Female,"Tuesday, 27 September 1949",108-55-7537,Eleanor,Savannah,Cook,666-552-5596,eleanor.cook45@gmail.com,178 North Rocky River Rd.,,47191,37
C00000127,Female,"Sunday, 27 December 1970",844-86-0801,Kaylee,Allison,Rogers,231-192-1790,kaylee.rogers4@hotmail.com,250 Linda St.,,43043,21
C00000128,Female,"Sunday, 4 April 1993",711-28-5807,Caroline,Samantha,Morgan,849-781-6183,caroline.morgan6@gmail.com,1 Durham Street,,49053,63
C00000129,Female,"Wednesday, 31 May 1967",448-80-4157,Hazel,Nora,Peterson,517-452-4831,hazel.peterson7@gmail.com,3 Rock Maple St.,,49392,64
C00000130,Male,"Wednesday, 14 February 1962",166-79-1395,Colton,Yakov,Brooks,249-709-3187,colton.brooks88@gmail.com,7527 Atlantic Ave.,,46145,53
C00000131,Female,"Friday, 31 January 1997",433-02-1643,Hailey,Skylar,Cooper,719-766-1799,hailey.cooper@outlook.com,36 Grandrose Circle,,42598,53
C00000132,Male,"Friday, 26 January 1973",242-00-0477,Jordan,Domenic,Bennett,133-274-1580,jordan.bennett@gmail.com,691 Holly Rd.,,45358,36
C00000134,Male,"Friday, 18 January 1952",428-49-5347,Brayden,Fischer,Gray,396-556-0077,brayden.gray@gmail.com,220 Railroad Street,,42012,6
C00000135,Female,"Wednesday, 10 September 1958",317-19-3685,Genesis,Camila,Reed,682-640-6565,genesis.reed@gmail.com,733 Birchwood Street,,45858,6
C00000136,Female,"Sunday, 26 January 1941",807-30-9613,Kylie,Anna,Bailey,978-722-6846,kylie.bailey@gmail.com,16 NW. Rosewood Drive,,1852,55
C00000137,Male,"Tuesday, 14 September 1943",531-23-5008,Nicholas,Henley,James,781-112-2258,nicholas.james@gmail.com,7685 Temple Circle,Unit 76,1902,60
C00000138,Female,"Wednesday, 21 October 1992",896-53-5481,Autumn,Paisley,Bell,823-052-1885,autumn.bell@outlook.com,60 Somerset Lane,,46329,54
C00000139,Female,"Wednesday, 25 July 1979",763-84-9255,Piper,Ariana,Gomez,297-775-1627,piper.gomez@gmail.com,47 S. Inverness Street,,43854,8
C00000140,Male,"Saturday, 6 June 1981",231-87-0410,Robert,Maxon,Reyes,129-459-8762,robert.reyes@gmail.com,517 Willow Street,,45693,8
C00000141,Male,"Friday, 2 November 1945",926-20-5366,Angel,Morris,Cruz,660-738-4405,angel.cruz@gmail.com,170 Carson Street,,48957,31
C00000142,Male,"Friday, 21 June 1957",523-08-3259,Hudson,Raylen,Hughes,545-468-8110,hudson.hughes@gmail.com,425 Liberty St.,,42917,68
C00000143,Male,"Thursday, 9 July 1998",834-67-7554,Lincoln,Saif,Price,206-797-2227,lincoln.price@gmail.com,796 Fieldstone Court,,40289,27
C00000144,Male,"Wednesday, 6 December 1978",633-93-6681,Evan,Stryker,Myers,617-418-3449,evan.stryker.myers@gmail.com,351 Howard Ave.,,2456,65
C00000145,Male,"Saturday, 14 February 1998",143-72-0843,Dominic,Yariel,Long,978-950-6914,dominic.long@gmail.com,71 Glen Ridge St.,,1853,55
C00000146,Female,"Saturday, 19 December 1981",845-74-4060,Maya,Ellie,Kelly,917-678-2836,maya.kelly3@hotmail.com,8934 San Pablo Lane,,44598,31
C00000147,Female,"Monday, 2 November 1953",284-76-0554,Nevaeh,Aaliyah,Howard,227-130-5461,nevaeh.howard33@gmail.com,9 W. Glendale St.,,46886,21
C00000148,Male,"Sunday, 25 December 1960",668-49-1531,Austin,Zaine,Foster,332-645-9533,austin.foster@gmail.com,15 Pulaski Drive,,49466,21
C00000149,Male,"Thursday, 27 June 1968",650-16-4522,Gavin,Arnav,Sanders,978-736-6534,gavin.sanders2@gmail.com,999 Sherman Lane,,1854,55
C00000150,Female,"Wednesday, 27 September 2000",426-44-6750,Serenity,Claire,Ward,432-235-7809,serenity.ward@outlook.com,500 Oakland St.,,42223,2
C00000151,Female,"Monday, 23 September 1991",942-60-9820,Peyton,Violet,Cox,413-851-1619,peyton.cox@gmail.com,48 N. High St.,,1102,51
C00000152,Female,"Thursday, 2 December 1965",895-14-4136,Mackenzie,Stella,Diaz,888-195-2257,mackenzie.diaz@gmail.com,8338 Mammoth Rd.,,46823,29
C00000153,Female,"Monday, 12 February 2001",838-92-7283,Bella,Sadie,Richardson,702-230-1685,bella.richardson@gmail.com,8426 Tarkiln Hill St.,,44473,13
C00000154,Male,"Thursday, 27 August 1953",829-71-8127,Nolan,Austyn,Ross,833-497-8240,nolan.ross@gmail.com,814 Ocean Street,Apt. 4D,45276,74
C00000155,Female,"Friday, 13 March 1959",814-89-6164,Eva,Mila,Wood,717-989-7187,eva.wood@gmail.com,37 North Lexington St.,,43197,74
C00000156,Female,"Saturday, 22 July 1950",296-46-9416,Taylor,Gabriella,Watson,711-889-0733,taylor.watson@outlook.com,1 Logan Rd.,,42630,54
C00000157,Female,"Tuesday, 9 July 1963",489-03-3905,Naomi,Lucy,Brooks,788-598-3153,naomi.brooks@gmail.com,89 Catherine St.,,48482,52
C00000158,Female,"Saturday, 3 July 1965",381-80-4650,Aubree,Arianna,Bennett,453-125-2846,aubree.bennett@gmail.com,9315 South Lane,,44477,40
C00000159,Male,"Wednesday, 10 September 1958",636-04-7309,Parker,Azriel,Morales,119-423-3456,parker.morales@gmail.com,789 Old York St.,,46842,40
C00000160,Female,"Thursday, 26 April 1962",361-60-9017,Aurora,Kennedy,Gray,708-775-5257,aurora.gray@gmail.com,651 High Ridge Road,,46913,64
C00000161,Female,"Monday, 7 October 1963",252-81-7063,Melanie,Sarah,James,488-733-1885,melanie.james@gmail.com,9946 Plymouth Dr.,,48530,34
C00000162,Male,"Tuesday, 17 October 1961",279-36-2586,Adam,Braxten,Powell,617-771-2656,adam.braxten.powell@gmail.com,217 Iroquois St.,,2458,65
C00000163,Male,"Friday, 12 June 1953",208-38-8235,Chase,Caspian,Sullivan,190-702-8786,chase.sullivan@gmail.com,70 S. Prince Ave.,,45141,74
C00000164,Female,"Sunday, 4 April 1982",247-44-8312,Lydia,Madelyn,Reyes,786-037-1071,lydia.reyes@hotmail.com,68 Foster Road,,49947,70
C00000165,Male,"Tuesday, 8 November 1988",911-72-7087,Jace,Damir,Russell,451-876-8255,jace.russell@gmail.com,91 North Hilldale Avenue,,45391,22
C00000166,Female,"Thursday, 22 October 1981",544-74-4738,Brianna,Eleanor,Cruz,327-683-0630,brianna.cruz@gmail.com,298 Garden St.,,47211,22
C00000167,Female,"Saturday, 18 April 1998",753-64-4273,Ruby,Kaylee,Hughes,518-520-3878,ruby.hughes@gmail.com,8555 Academy St.,,44650,38
C00000168,Female,"Tuesday, 5 November 1996",759-53-1661,Katherine,Caroline,Price,891-470-9210,katherine.price@outlook.com,81 3rd Street,,44745,24
C00000169,Male,"Wednesday, 12 September 1973",386-28-6624,Ian,Dwight,Ortiz,441-222-0909,ian.ortiz@gmail.com,9688 Argyle St.,,42391,38
C00000170,Female,"Thursday, 16 June 1966",197-59-9732,Ashley,Hazel,Myers,946-045-8160,ashley.myers@gmail.com,165 Southampton St.,,40155,38
C00000171,Male,"Saturday, 25 June 1949",574-35-3018,Cooper,Jasiel,Jenkins,413-478-2565,cooper.jenkins@gmail.com,7460 Lakewood Dr.,,1103,51
C00000172,Female,"Wednesday, 5 October 1955",193-44-0980,Alexis,Hailey,Long,413-479-0025,alexis.long@gmail.com,689 Franklin Ave.,,1104,51
C00000173,Female,"Thursday, 8 December 1938",387-21-6253,Alice,Genesis,Foster,626-167-5233,alice.foster@gmail.com,22 Middle River Drive,,40697,21
C00000174,Male,"Tuesday, 10 November 1998",240-38-9745,Easton,Javian,Gutierrez,924-761-7943,easton.gutierrez@outlook.com,82 Peg Shop St.,,47608,10
C00000175,Male,"Sunday, 13 July 1980",811-71-9552,Kevin,Maddex,Perry,433-465-6931,kevin.perry@gmail.com,8019 West Howard Lane,,45938,31
C00000176,Male,"Friday, 11 March 1949",374-39-6600,Jose,Rio,Butler,756-363-9393,jose.butler@gmail.com,8418 Tanglewood Circle,,41595,4
C00000178,Male,"Monday, 22 December 1980",613-87-6043,Tyler,Yasin,Barnes,388-129-0151,tyler.barnes@gmail.com,32 Mountainview Street,,44871,8
C00000179,Male,"Friday, 29 December 2000",235-39-1309,Brandon,Dewayne,Fisher,822-121-5569,brandon.fisher4@gmail.com,9895 Boston Ave.,,46874,43
C00000180,Male,"Saturday, 19 January 2002",536-55-3734,Asher,Kylar,Henderson,313-346-5449,asher.henderson5@gmail.com,120 East Greystone Dr.,,40498,73
C00000181,Male,"Monday, 6 July 1987",833-63-8435,Jaxson,Mattias,Coleman,914-449-6685,jaxson.mattias.coleman@gmail.com,910 Applegate Dr.,,10705,76
